"(0, 1, 4, 7)",1.0,0.8680555555555556,"(0.3548387096774194, 22)","[0.81690141 0.8028169  0.85915493 0.78873239 0.84285714 0.85714286
 0.82608696 0.7826087  0.84057971 0.82608696]"
"(0, 1, 4, 8)",0.9846153846153847,0.8888888888888888,"(0.3548387096774194, 22)","[0.85915493 0.76056338 0.78873239 0.78873239 0.85714286 0.9
 0.7826087  0.82608696 0.85507246 0.8115942 ]"
"(0, 1, 4, 9)",1.0,0.9166666666666666,"(0.3870967741935484, 24)","[0.8028169  0.77464789 0.84507042 0.8028169  0.84285714 0.84285714
 0.79710145 0.82608696 0.85507246 0.82608696]"
"(0, 1, 4, 10)",0.9921259842519685,0.875,"(0.3870967741935484, 24)","[0.77464789 0.84507042 0.84507042 0.8028169  0.84285714 0.84285714
 0.8115942  0.84057971 0.84057971 0.76811594]"
"(0, 1, 4, 11)",0.992,0.8611111111111112,"(0.3709677419354839, 23)","[0.81690141 0.81690141 0.81690141 0.77464789 0.84285714 0.87142857
 0.76811594 0.86956522 0.85507246 0.84057971]"
"(0, 1, 4, 12)",1.0,0.9236111111111112,"(0.3709677419354839, 23)","[0.85915493 0.74647887 0.81690141 0.84507042 0.85714286 0.87142857
 0.82608696 0.82608696 0.85507246 0.76811594]"
"(0, 1, 4, 13)",0.9776119402985075,0.9097222222222222,"(0.3225806451612903, 20)","[0.83098592 0.81690141 0.84507042 0.8028169  0.8        0.87142857
 0.7826087  0.84057971 0.84057971 0.85507246]"
"(0, 1, 4, 14)",1.0,0.8888888888888888,"(0.3064516129032258, 19)","[0.84507042 0.8028169  0.83098592 0.77464789 0.81428571 0.87142857
 0.7826087  0.84057971 0.85507246 0.76811594]"
"(0, 1, 5, 6)",1.0,0.8819444444444444,"(0.4032258064516129, 25)","[0.84507042 0.78873239 0.81690141 0.78873239 0.85714286 0.84285714
 0.79710145 0.8115942  0.82608696 0.79710145]"
"(0, 1, 5, 7)",0.9699248120300752,0.8958333333333334,"(0.3387096774193548, 21)","[0.88732394 0.76056338 0.85915493 0.8028169  0.81428571 0.85714286
 0.84057971 0.79710145 0.82608696 0.79710145]"
"(0, 1, 5, 8)",0.9916666666666667,0.8263888888888888,"(0.3064516129032258, 19)","[0.88732394 0.76056338 0.84507042 0.81690141 0.82857143 0.84285714
 0.8115942  0.82608696 0.8115942  0.75362319]"
"(0, 1, 5, 9)",0.9921875,0.8819444444444444,"(0.3548387096774194, 22)","[0.87323944 0.77464789 0.83098592 0.77464789 0.9        0.84285714
 0.79710145 0.8115942  0.84057971 0.8115942 ]"
"(0, 1, 5, 10)",1.0,0.8819444444444444,"(0.2903225806451613, 18)","[0.78873239 0.76056338 0.81690141 0.77464789 0.84285714 0.85714286
 0.8115942  0.85507246 0.84057971 0.73913043]"
"(0, 1, 5, 11)",0.9921875,0.8819444444444444,"(0.3548387096774194, 22)","[0.84507042 0.8028169  0.81690141 0.78873239 0.82857143 0.84285714
 0.85507246 0.75362319 0.84057971 0.75362319]"
