"(0, 1, 2, 3, 4, 5, 6, 7)",1.0,0.8918918918918919,"(0.39655172413793105, 23)","[0.81690141 0.78873239 0.84285714 0.82857143 0.81428571 0.85714286
 0.88571429 0.82857143 0.85507246 0.82608696]"
"(0, 1, 2, 3, 4, 5, 6, 8)",0.9923076923076923,0.8716216216216216,"(0.46551724137931033, 27)","[0.78873239 0.8028169  0.85714286 0.81428571 0.82857143 0.85714286
 0.85714286 0.85714286 0.79710145 0.8115942 ]"
"(0, 1, 2, 3, 4, 5, 6, 9)",0.9849624060150376,0.8851351351351351,"(0.4482758620689655, 26)","[0.81690141 0.81690141 0.85714286 0.81428571 0.84285714 0.82857143
 0.82857143 0.84285714 0.8115942  0.79710145]"
"(0, 1, 2, 3, 4, 5, 6, 10)",0.9777777777777777,0.8918918918918919,"(0.41379310344827586, 24)","[0.77464789 0.81690141 0.85714286 0.81428571 0.82857143 0.84285714
 0.87142857 0.82857143 0.8115942  0.8115942 ]"
"(0, 1, 2, 3, 4, 5, 6, 11)",1.0,0.8581081081081081,"(0.3793103448275862, 22)","[0.78873239 0.83098592 0.84285714 0.8        0.81428571 0.87142857
 0.87142857 0.82857143 0.82608696 0.75362319]"
"(0, 1, 2, 3, 4, 5, 6, 12)",1.0,0.8783783783783784,"(0.4482758620689655, 26)","[0.81690141 0.81690141 0.82857143 0.82857143 0.85714286 0.87142857
 0.85714286 0.84285714 0.7826087  0.76811594]"
"(0, 1, 2, 3, 4, 5, 6, 13)",0.9859154929577465,0.9459459459459459,"(0.43103448275862066, 25)","[0.78873239 0.84507042 0.81428571 0.81428571 0.82857143 0.87142857
 0.81428571 0.82857143 0.79710145 0.7826087 ]"
"(0, 1, 2, 3, 4, 5, 6, 14)",0.9857142857142858,0.9324324324324325,"(0.3793103448275862, 22)","[0.78873239 0.81690141 0.87142857 0.78571429 0.85714286 0.84285714
 0.85714286 0.82857143 0.82608696 0.76811594]"
"(0, 1, 2, 3, 4, 5, 7, 8)",1.0,0.8378378378378378,"(0.43103448275862066, 25)","[0.81690141 0.8028169  0.84285714 0.81428571 0.85714286 0.88571429
 0.82857143 0.87142857 0.8115942  0.79710145]"
"(0, 1, 2, 3, 4, 5, 7, 9)",1.0,0.8581081081081081,"(0.43103448275862066, 25)","[0.77464789 0.78873239 0.82857143 0.8        0.82857143 0.87142857
 0.85714286 0.81428571 0.8115942  0.76811594]"
